,IDs,pos_depart,pos_arrivee,born_time
254,R254,MP26,MP19,1
255,R255,MP5,MP30,0
256,R256,MP45,MP2,4
257,R257,MP6,MP45,9
258,R258,MP19,MP18,5
259,R259,MP20,MP48,2
260,R260,MP36,MP29,2
261,R261,MP5,MP19,15
262,R262,MP26,MP2,4
263,R263,MP22,MP25,0
264,R264,MP39,MP48,11
265,R265,MP1,MP18,6
266,R266,MP1,MP24,12
267,R267,MP5,MP28,16
268,R268,MP8,MP22,2
269,R269,MP14,MP32,17
270,R270,MP22,MP49,0
271,R271,MP11,MP39,17
272,R272,MP1,MP25,18
273,R273,MP6,MP10,19
274,R274,MP33,MP1,14
275,R275,MP24,MP14,9
276,R276,MP28,MP35,3
277,R277,MP41,MP6,13
278,R278,MP32,MP40,10
279,R279,MP28,MP20,13
280,R280,MP40,MP12,13
281,R281,MP0,MP33,12
282,R282,MP29,MP12,5
283,R283,MP36,MP17,13
284,R284,MP15,MP47,10
285,R285,MP6,MP27,3
286,R286,MP39,MP28,6
287,R287,MP10,MP18,16
288,R288,MP18,MP2,10
289,R289,MP21,MP16,4
290,R290,MP47,MP9,13
291,R291,MP45,MP12,3
292,R292,MP28,MP25,8
293,R293,MP16,MP46,2
294,R294,MP26,MP20,16
295,R295,MP29,MP39,7
296,R296,MP26,MP20,8
297,R297,MP46,MP32,3
298,R298,MP18,MP7,7
299,R299,MP40,MP47,2
300,R300,MP30,MP3,12
301,R301,MP10,MP23,3
302,R302,MP21,MP16,13
303,R303,MP17,MP8,2
304,R304,MP42,MP26,6
305,R305,MP15,MP28,19
306,R306,MP7,MP33,10
307,R307,MP8,MP45,18
308,R308,MP14,MP44,16
309,R309,MP39,MP29,0
310,R310,MP47,MP42,18
311,R311,MP13,MP2,11
312,R312,MP11,MP17,4
313,R313,MP17,MP30,18
314,R314,MP46,MP44,2
315,R315,MP8,MP11,13
316,R316,MP20,MP36,14
317,R317,MP17,MP28,14
318,R318,MP21,MP13,7
319,R319,MP39,MP34,0
320,R320,MP33,MP6,15
321,R321,MP30,MP34,12
322,R322,MP17,MP36,18
323,R323,MP42,MP26,1
324,R324,MP47,MP28,3
325,R325,MP43,MP31,15
326,R326,MP39,MP15,1
327,R327,MP47,MP21,16
328,R328,MP25,MP46,12
329,R329,MP47,MP29,3
330,R330,MP14,MP5,5
331,R331,MP9,MP27,19
332,R332,MP47,MP39,4
333,R333,MP40,MP18,3
334,R334,MP35,MP27,17
335,R335,MP4,MP30,19
336,R336,MP20,MP8,8
337,R337,MP16,MP14,3
338,R338,MP37,MP11,15
339,R339,MP26,MP17,11
340,R340,MP4,MP10,9
341,R341,MP24,MP38,7
342,R342,MP4,MP17,11
343,R343,MP27,MP2,13
344,R344,MP20,MP27,13
345,R345,MP37,MP28,4
346,R346,MP6,MP17,14
347,R347,MP45,MP33,8
348,R348,MP8,MP30,5
349,R349,MP44,MP47,8
350,R350,MP34,MP27,12
351,R351,MP18,MP48,2
352,R352,MP7,MP13,18
353,R353,MP27,MP4,9
354,R354,MP42,MP28,8
355,R355,MP27,MP5,7
356,R356,MP5,MP47,17
357,R357,MP20,MP28,19
358,R358,MP14,MP30,4
359,R359,MP36,MP32,8
360,R360,MP31,MP24,12
361,R361,MP18,MP5,0
362,R362,MP2,MP16,18
363,R363,MP5,MP3,18
364,R364,MP33,MP47,14
365,R365,MP29,MP18,15
366,R366,MP32,MP49,17
367,R367,MP27,MP44,0
368,R368,MP8,MP28,1
369,R369,MP20,MP11,16
370,R370,MP47,MP36,18
371,R371,MP16,MP34,12
372,R372,MP19,MP43,9
373,R373,MP24,MP33,2
374,R374,MP17,MP46,9
375,R375,MP38,MP42,7
376,R376,MP17,MP2,14
377,R377,MP30,MP39,12
378,R378,MP3,MP44,13
379,R379,MP20,MP22,3
380,R380,MP16,MP15,14
381,R381,MP42,MP21,14
382,R382,MP33,MP19,15
383,R383,MP15,MP0,11
384,R384,MP32,MP2,4
385,R385,MP11,MP7,2
386,R386,MP42,MP12,17
387,R387,MP37,MP32,4
388,R388,MP20,MP48,16
389,R389,MP15,MP10,9
390,R390,MP9,MP19,11
391,R391,MP20,MP35,3
392,R392,MP18,MP15,6
393,R393,MP4,MP34,1
394,R394,MP40,MP46,7
395,R395,MP43,MP20,15
396,R396,MP4,MP31,5
397,R397,MP16,MP18,0
398,R398,MP13,MP47,6
399,R399,MP1,MP34,4
400,R400,MP9,MP39,5
401,R401,MP5,MP9,15
402,R402,MP35,MP39,4
403,R403,MP2,MP26,2
404,R404,MP26,MP18,14
405,R405,MP12,MP46,10
406,R406,MP19,MP39,5
407,R407,MP37,MP20,14
408,R408,MP21,MP16,17
409,R409,MP8,MP30,6
410,R410,MP25,MP11,2
411,R411,MP36,MP5,15
412,R412,MP38,MP13,1
413,R413,MP1,MP38,19
414,R414,MP40,MP29,18
415,R415,MP16,MP15,0
416,R416,MP7,MP29,10
417,R417,MP44,MP14,8
418,R418,MP14,MP39,3
419,R419,MP38,MP10,3
420,R420,MP26,MP18,12
421,R421,MP29,MP46,8
422,R422,MP33,MP12,15
423,R423,MP17,MP8,2
424,R424,MP15,MP20,4
425,R425,MP48,MP42,0
426,R426,MP41,MP39,12
427,R427,MP15,MP35,15
428,R428,MP32,MP10,15
429,R429,MP27,MP39,16
430,R430,MP48,MP30,1
431,R431,MP16,MP20,8
432,R432,MP44,MP49,16
433,R433,MP44,MP7,13
434,R434,MP16,MP33,14
435,R435,MP47,MP29,16
436,R436,MP8,MP37,14
437,R437,MP7,MP48,5
438,R438,MP14,MP43,9
439,R439,MP5,MP25,10
440,R440,MP37,MP36,6
441,R441,MP23,MP47,5
442,R442,MP48,MP19,2
443,R443,MP8,MP26,19
444,R444,MP22,MP38,16
445,R445,MP11,MP17,15
446,R446,MP34,MP25,13
447,R447,MP42,MP41,3
448,R448,MP9,MP16,19
449,R449,MP18,MP37,3
450,R450,MP19,MP16,5
451,R451,MP7,MP29,7
452,R452,MP35,MP41,5
453,R453,MP47,MP9,11
454,R454,MP7,MP33,3
455,R455,MP34,MP38,19
456,R456,MP16,MP32,13
457,R457,MP33,MP9,17
458,R458,MP7,MP14,17
459,R459,MP20,MP49,15
460,R460,MP4,MP5,19
461,R461,MP6,MP18,6
462,R462,MP8,MP45,3
463,R463,MP15,MP40,15
464,R464,MP0,MP38,17
465,R465,MP34,MP44,19
466,R466,MP4,MP27,7
467,R467,MP4,MP42,4
468,R468,MP3,MP17,13
469,R469,MP25,MP47,13
470,R470,MP31,MP32,2
471,R471,MP6,MP1,13
472,R472,MP48,MP30,5
473,R473,MP48,MP41,19
474,R474,MP48,MP24,2
475,R475,MP32,MP38,4
476,R476,MP21,MP30,9
477,R477,MP44,MP40,2
478,R478,MP13,MP26,8
479,R479,MP39,MP36,2
480,R480,MP18,MP48,11
481,R481,MP8,MP30,4
482,R482,MP47,MP21,6
483,R483,MP37,MP5,9
484,R484,MP40,MP11,16
485,R485,MP43,MP11,2
486,R486,MP24,MP19,1
487,R487,MP3,MP36,9
488,R488,MP18,MP19,12
489,R489,MP33,MP43,2
490,R490,MP40,MP10,9
491,R491,MP47,MP13,14
492,R492,MP35,MP12,5
493,R493,MP34,MP28,1
494,R494,MP36,MP37,19
495,R495,MP3,MP32,10
496,R496,MP34,MP20,13
497,R497,MP2,MP44,13
498,R498,MP38,MP28,14
499,R499,MP45,MP11,14
500,R500,MP44,MP36,9
501,R501,MP33,MP29,10
502,R502,MP10,MP30,6
503,R503,MP42,MP39,1
504,R504,MP17,MP40,10
505,R505,MP44,MP2,0
506,R506,MP29,MP9,3
507,R507,MP31,MP27,5
508,R508,MP20,MP19,7
509,R509,MP44,MP30,13
510,R510,MP15,MP3,19
511,R511,MP7,MP11,10
512,R512,MP24,MP21,5
513,R513,MP14,MP25,10
514,R514,MP22,MP40,2
515,R515,MP19,MP41,7
516,R516,MP49,MP43,1
517,R517,MP37,MP32,10
518,R518,MP2,MP5,4
519,R519,MP24,MP13,0
520,R520,MP48,MP25,10
521,R521,MP22,MP43,2
522,R522,MP31,MP29,8
523,R523,MP19,MP17,7
524,R524,MP1,MP4,15
525,R525,MP30,MP1,0
526,R526,MP42,MP28,0
527,R527,MP25,MP48,11
528,R528,MP31,MP32,5
529,R529,MP13,MP15,0
530,R530,MP33,MP21,13
531,R531,MP46,MP36,14
532,R532,MP44,MP48,1
533,R533,MP47,MP16,10
534,R534,MP13,MP4,2
535,R535,MP47,MP45,5
536,R536,MP20,MP24,10
537,R537,MP11,MP39,2
538,R538,MP44,MP13,8
539,R539,MP49,MP30,6
540,R540,MP22,MP45,5
541,R541,MP10,MP6,17
542,R542,MP27,MP26,11
543,R543,MP35,MP8,5
544,R544,MP10,MP33,12
545,R545,MP45,MP27,2
546,R546,MP5,MP48,6
547,R547,MP24,MP43,2
548,R548,MP49,MP30,18
549,R549,MP35,MP21,13
550,R550,MP47,MP39,19
551,R551,MP22,MP16,5
552,R552,MP47,MP27,1
553,R553,MP10,MP31,8
554,R554,MP46,MP15,2
555,R555,MP34,MP10,8
556,R556,MP46,MP31,7
557,R557,MP3,MP32,1
558,R558,MP23,MP20,7
559,R559,MP8,MP9,13
560,R560,MP40,MP7,15
561,R561,MP32,MP47,1
562,R562,MP17,MP19,5
563,R563,MP46,MP11,3
564,R564,MP21,MP32,16
565,R565,MP45,MP12,0
566,R566,MP7,MP32,18
567,R567,MP33,MP2,16
568,R568,MP37,MP35,8
569,R569,MP43,MP26,4
570,R570,MP38,MP23,7
571,R571,MP16,MP0,12
572,R572,MP0,MP46,17
573,R573,MP3,MP27,14
574,R574,MP26,MP33,11
575,R575,MP3,MP35,16
576,R576,MP10,MP14,16
577,R577,MP8,MP12,6
578,R578,MP41,MP38,14
579,R579,MP16,MP28,1
580,R580,MP45,MP35,16
581,R581,MP30,MP7,19
582,R582,MP45,MP47,5
583,R583,MP37,MP32,6
584,R584,MP6,MP17,3
585,R585,MP16,MP18,15
586,R586,MP48,MP21,18
587,R587,MP37,MP39,3
588,R588,MP10,MP40,4
589,R589,MP16,MP14,4
590,R590,MP21,MP24,2
591,R591,MP2,MP17,15
592,R592,MP35,MP5,13
593,R593,MP24,MP22,14
594,R594,MP2,MP20,9
595,R595,MP40,MP10,3
596,R596,MP32,MP19,10
597,R597,MP30,MP31,15
598,R598,MP20,MP28,5
599,R599,MP12,MP20,2
600,R600,MP43,MP33,12
601,R601,MP16,MP40,15
602,R602,MP38,MP17,2
603,R603,MP3,MP21,4
604,R604,MP15,MP3,8
605,R605,MP38,MP19,6
606,R606,MP46,MP36,6
607,R607,MP26,MP21,15
608,R608,MP28,MP5,17
609,R609,MP5,MP47,7
610,R610,MP45,MP6,2
611,R611,MP40,MP16,10
612,R612,MP3,MP7,15
613,R613,MP27,MP46,3
614,R614,MP35,MP18,2
615,R615,MP18,MP1,15
616,R616,MP38,MP32,7
617,R617,MP46,MP29,11
618,R618,MP9,MP8,19
619,R619,MP47,MP14,18
620,R620,MP47,MP42,8
621,R621,MP31,MP6,15
622,R622,MP32,MP22,1
623,R623,MP30,MP31,1
624,R624,MP42,MP17,5
625,R625,MP25,MP9,13
626,R626,MP42,MP13,8
627,R627,MP12,MP46,17
628,R628,MP29,MP19,7
629,R629,MP47,MP30,11
630,R630,MP43,MP32,0
631,R631,MP30,MP34,15
632,R632,MP4,MP24,2
633,R633,MP37,MP38,17
634,R634,MP4,MP25,4
635,R635,MP9,MP48,6
636,R636,MP3,MP14,10
637,R637,MP35,MP34,8
638,R638,MP45,MP15,11
639,R639,MP43,MP15,1
640,R640,MP41,MP43,4
641,R641,MP24,MP46,16
642,R642,MP2,MP27,6
643,R643,MP1,MP38,14
644,R644,MP3,MP2,18
645,R645,MP28,MP47,5
646,R646,MP30,MP36,4
647,R647,MP33,MP32,13
648,R648,MP14,MP46,11
649,R649,MP48,MP37,0
650,R650,MP19,MP40,18
651,R651,MP17,MP8,18
652,R652,MP22,MP2,10
653,R653,MP17,MP15,12
654,R654,MP17,MP47,17
655,R655,MP10,MP11,6
656,R656,MP31,MP15,9
657,R657,MP38,MP2,1
658,R658,MP7,MP29,4
659,R659,MP13,MP48,7
660,R660,MP2,MP24,16
661,R661,MP15,MP5,2
662,R662,MP39,MP20,10
663,R663,MP15,MP6,13
664,R664,MP34,MP49,17
665,R665,MP28,MP3,3
666,R666,MP43,MP2,14
667,R667,MP2,MP46,19
668,R668,MP34,MP42,13
669,R669,MP41,MP40,9
670,R670,MP37,MP17,10
671,R671,MP11,MP19,8
672,R672,MP13,MP12,18
673,R673,MP47,MP39,6
674,R674,MP3,MP43,14
675,R675,MP15,MP48,15
676,R676,MP17,MP15,11
677,R677,MP9,MP31,3
678,R678,MP49,MP31,13
679,R679,MP42,MP30,1
680,R680,MP7,MP36,5
681,R681,MP18,MP27,12
682,R682,MP7,MP12,0
683,R683,MP30,MP1,11
684,R684,MP24,MP15,3
685,R685,MP25,MP24,17
686,R686,MP24,MP42,2
687,R687,MP5,MP29,19
688,R688,MP17,MP38,19
689,R689,MP16,MP39,18
690,R690,MP16,MP31,11
691,R691,MP42,MP12,4
692,R692,MP13,MP1,18
693,R693,MP17,MP31,14
694,R694,MP29,MP34,1
695,R695,MP32,MP16,7
696,R696,MP25,MP48,0
697,R697,MP46,MP7,13
698,R698,MP33,MP45,9
699,R699,MP48,MP4,14
700,R700,MP9,MP6,13
701,R701,MP44,MP33,0
702,R702,MP47,MP5,6
703,R703,MP30,MP3,9
704,R704,MP25,MP9,14
705,R705,MP29,MP3,7
706,R706,MP12,MP39,15
707,R707,MP38,MP25,4
708,R708,MP4,MP34,13
709,R709,MP21,MP27,11
710,R710,MP21,MP30,3
711,R711,MP25,MP15,13
712,R712,MP44,MP4,15
713,R713,MP22,MP35,13
714,R714,MP38,MP36,9
715,R715,MP38,MP28,0
716,R716,MP22,MP30,5
717,R717,MP41,MP24,11
718,R718,MP20,MP24,6
719,R719,MP25,MP20,5
720,R720,MP28,MP23,16
721,R721,MP36,MP31,11
722,R722,MP45,MP12,4
723,R723,MP18,MP5,4
724,R724,MP26,MP42,14
725,R725,MP9,MP41,9
726,R726,MP32,MP0,1
727,R727,MP17,MP37,15
728,R728,MP21,MP1,4
729,R729,MP27,MP4,4
730,R730,MP28,MP43,5
731,R731,MP10,MP42,17
732,R732,MP17,MP27,10
733,R733,MP47,MP30,13
734,R734,MP48,MP22,12
735,R735,MP18,MP30,9
736,R736,MP11,MP28,18
737,R737,MP14,MP32,19
738,R738,MP47,MP34,9
739,R739,MP34,MP6,4
740,R740,MP9,MP22,0
741,R741,MP10,MP4,1
742,R742,MP3,MP22,15
743,R743,MP6,MP24,8
744,R744,MP15,MP3,13
745,R745,MP29,MP43,4
746,R746,MP49,MP38,18
747,R747,MP47,MP8,13
748,R748,MP49,MP46,15
749,R749,MP28,MP17,0
750,R750,MP0,MP48,7
751,R751,MP33,MP27,14
752,R752,MP32,MP7,8
753,R753,MP6,MP30,4
754,R754,MP7,MP1,12
755,R755,MP38,MP12,4
756,R756,MP35,MP2,1
757,R757,MP42,MP11,15
758,R758,MP47,MP11,16
759,R759,MP19,MP0,8
760,R760,MP0,MP1,7
761,R761,MP7,MP43,19
762,R762,MP22,MP15,5
763,R763,MP13,MP26,6
764,R764,MP11,MP37,1
765,R765,MP44,MP48,13
766,R766,MP49,MP25,0
767,R767,MP26,MP1,15
768,R768,MP22,MP32,18
769,R769,MP3,MP41,2
770,R770,MP29,MP20,8
771,R771,MP43,MP45,5
772,R772,MP21,MP28,18
773,R773,MP45,MP41,16
774,R774,MP39,MP38,11
775,R775,MP20,MP38,7
776,R776,MP29,MP18,5
777,R777,MP10,MP40,7
778,R778,MP49,MP11,8
779,R779,MP4,MP49,11
780,R780,MP41,MP6,3
781,R781,MP14,MP41,16
782,R782,MP41,MP21,6
783,R783,MP3,MP13,0
784,R784,MP49,MP9,4
785,R785,MP24,MP45,9
786,R786,MP14,MP47,12
787,R787,MP1,MP16,9
788,R788,MP0,MP8,9
789,R789,MP9,MP12,15
790,R790,MP48,MP7,12
791,R791,MP7,MP32,12
792,R792,MP8,MP2,19
793,R793,MP11,MP4,18
794,R794,MP48,MP33,3
795,R795,MP42,MP14,0
796,R796,MP31,MP10,6
797,R797,MP29,MP32,17
798,R798,MP16,MP27,7
799,R799,MP37,MP10,19
800,R800,MP2,MP27,9
801,R801,MP14,MP13,1
802,R802,MP33,MP1,11
803,R803,MP46,MP10,14
804,R804,MP38,MP20,11
805,R805,MP45,MP46,9
806,R806,MP3,MP49,4
807,R807,MP11,MP3,16
808,R808,MP19,MP0,0
809,R809,MP13,MP6,1
810,R810,MP15,MP31,9
811,R811,MP8,MP18,9
812,R812,MP1,MP8,11
813,R813,MP23,MP21,10
814,R814,MP29,MP3,0
815,R815,MP25,MP49,7
816,R816,MP45,MP25,12
817,R817,MP28,MP16,15
818,R818,MP27,MP2,11
819,R819,MP19,MP35,1
820,R820,MP16,MP46,1
821,R821,MP3,MP38,17
822,R822,MP38,MP16,16
823,R823,MP31,MP47,17
824,R824,MP26,MP19,14
825,R825,MP27,MP44,5
826,R826,MP7,MP40,17
827,R827,MP32,MP7,3
828,R828,MP19,MP8,8
829,R829,MP19,MP41,4
830,R830,MP24,MP21,0
831,R831,MP21,MP8,18
832,R832,MP7,MP0,7
833,R833,MP7,MP37,12
834,R834,MP22,MP45,19
835,R835,MP34,MP37,17
836,R836,MP24,MP7,7
837,R837,MP20,MP33,17
838,R838,MP27,MP26,0
839,R839,MP46,MP28,14
840,R840,MP38,MP32,3
841,R841,MP33,MP6,14
842,R842,MP34,MP43,6
843,R843,MP16,MP12,7
844,R844,MP29,MP13,8
845,R845,MP45,MP28,3
846,R846,MP23,MP5,18
847,R847,MP10,MP1,14
848,R848,MP8,MP16,14
849,R849,MP34,MP40,19
850,R850,MP33,MP34,18
851,R851,MP21,MP47,0
852,R852,MP43,MP28,9
853,R853,MP12,MP8,12
854,R854,MP30,MP46,9
855,R855,MP24,MP39,18
856,R856,MP12,MP1,4
857,R857,MP24,MP5,6
858,R858,MP18,MP31,6
859,R859,MP31,MP37,10
860,R860,MP20,MP11,8
861,R861,MP47,MP22,11
862,R862,MP11,MP21,6
863,R863,MP47,MP49,8
864,R864,MP44,MP42,13
865,R865,MP5,MP21,9
866,R866,MP20,MP14,7
867,R867,MP48,MP35,7
868,R868,MP11,MP37,14
869,R869,MP44,MP20,14
870,R870,MP7,MP17,18
871,R871,MP28,MP12,15
872,R872,MP39,MP14,7
873,R873,MP47,MP41,11
874,R874,MP40,MP45,13
875,R875,MP46,MP2,11
876,R876,MP38,MP48,19
877,R877,MP28,MP10,17
878,R878,MP35,MP11,13
879,R879,MP25,MP28,5
880,R880,MP11,MP25,17
881,R881,MP16,MP46,12
882,R882,MP35,MP14,17
883,R883,MP17,MP0,8
884,R884,MP9,MP14,19
885,R885,MP47,MP3,16
886,R886,MP38,MP21,5
887,R887,MP30,MP46,7
888,R888,MP19,MP23,6
889,R889,MP23,MP30,19
890,R890,MP33,MP20,12
891,R891,MP46,MP14,7
892,R892,MP22,MP34,0
893,R893,MP26,MP49,17
894,R894,MP28,MP21,17
895,R895,MP12,MP38,12
896,R896,MP31,MP34,6
897,R897,MP37,MP2,10
898,R898,MP40,MP17,2
899,R899,MP45,MP39,10
900,R900,MP7,MP40,13
901,R901,MP13,MP11,0
902,R902,MP37,MP3,17
903,R903,MP42,MP9,17
904,R904,MP0,MP46,4
905,R905,MP15,MP8,11
906,R906,MP31,MP3,13
907,R907,MP12,MP28,0
908,R908,MP20,MP5,18
909,R909,MP46,MP12,7
910,R910,MP46,MP33,19
911,R911,MP20,MP6,1
912,R912,MP15,MP16,18
913,R913,MP20,MP32,19
914,R914,MP23,MP12,17
915,R915,MP21,MP9,11
916,R916,MP25,MP12,4
917,R917,MP9,MP42,16
918,R918,MP7,MP4,3
919,R919,MP28,MP22,14
920,R920,MP5,MP48,15
921,R921,MP46,MP10,5
922,R922,MP17,MP7,13
923,R923,MP44,MP27,5
924,R924,MP33,MP27,7
925,R925,MP10,MP28,6
926,R926,MP6,MP16,19
927,R927,MP25,MP45,3
928,R928,MP33,MP47,8
929,R929,MP23,MP1,16
